id,name,vendor_sku,change_to
84756,Washer Drain Seal,14-0922,
84722,WASHER-DRAIN SEAL,14-5843,
81219,Weld-On Brake Tab Raw,51-1871,
81254,Weld On Tab with Bolts,51-4750,
72820,Wheel Brake Cylinder Mount Bolts,3335-4,
87590,Wheel Cylinder Bolt,23-0713,
87613,Wheel Cylinder Swivel Fitting,23-0755,
87589,Wheel Cylinder Swivel Fitting,23-0712,
57422,WHITE PEACH,100-0007,
80721,Wire Loom Spring Clamp,50-1249,
90842,Wiring 6 Pin Socket Insulator,32-8035,
90840,Wiring Single Socket Insulator,32-8033,
79172,XLCH Engine Plaque,48-0372,
62745,XL Engine Stand Tool Set,16-2761,
69914,XL Pipe Clamp Set,31-1783,
75456,XL Starter Screw Set,37-3001,
63408,York Veloprene Pack Kit,18-0517,
88117,Zinc Ball Neck Cup Set,24-0110,
77299,ZincKote Aerosol,41-0004,
82960,Zinc Lever Pivot Screw Set,8819-4T,
75381,Zinc Plated 7/16 inch-14 Nyloc Lock Nut,37-1674,
82264,Zinc Plated 7/16 inch-14 Nyloc Lock Nut,73-0006,
75093,Zinc Plated 7/16 inch-20 Lock Nut,37-0066,
