"sku","product_name","product_url","price","oem_no","fitment_raw","description","uom","finish","manufacturer","origin","catalog_pages","replacement_items","tech_note","extra_attributes","source","error"
"32-5141","Ultima 12 Volt AGM Thundervolt Battery","https://www2.vtwinmfg.com/ultima-12-volt-agm-thunderbolt-battery-1.html","$140.31","66007-84","FL 1965-1984 | FLH 1965-1984 | XL 1967-1978 with electric start. Does not fit XLCR","32-51a 12 volt AGM Thundervolt battery has 280 cold cranking amps. Battery reduces internal battery resistance by replacing 3 internal connections with 1. Battery features flush mount, threaded terminals which allow for easy connection to bike terminals.","1 - EA","","Ultima","Imported","","","","","product_page",""
"32-5143","Ultima 12 Volt AGM Thundervolt Battery","https://www2.vtwinmfg.com/ultima-12-volt-agm-thunderbolt-battery-3.html","$105.76","65958-04","XL 2004-2004","Ultima 12 volt AGM Thundervolt battery has 200 cold cranking amps. Battery reduces internal battery resistance by replacing 3 internal connections with 1. Battery features flush mount, threaded terminals which allow for easy connection to bike terminals.","1 - EA","","Ultima","Imported","","","","","product_page",""
"32-5144","Ultima 12 Volt AGM Thundervolt Battery","https://www2.vtwinmfg.com/ultima-12-volt-agm-thunderbolt-battery-4.html","$125.91","65989-90B","FXST 1991-1996 | FLST 1991-1996 | FXD 1991-1996","Ultima 12 volt AGM Thundervolt battery has 240 cold cranking amps. Battery reduces internal battery resistance by replacing 3 internal connections with 1. Battery features flush mount, threaded terminals which allow for easy connection to bike terminals.","1 - EA","","Ultima","Imported","","","","","product_page",""
"32-5145","Ultima 12 Volt AGM Thundervolt Battery","https://www2.vtwinmfg.com/ultima-12-volt-agm-thunderbolt-battery-5.html","$125.91","65991-82B","FXST 1984-1990 | FXR 1999-2000 | FXR 1973-1994 with electric start | XLCR 1977-1978 | XL 1979-1996 | FX 1973-1994 with electric start | FLST 1984-1990","Ultima 12 volt AGM Thundervolt battery has 240 cold cranking amps. Battery reduces internal battery resistance by replacing 3 internal connections with 1. Battery features flush mount, threaded terminals which allow for easy connection to bike terminals.","1 - EA","","Ultima","Imported","","","","","product_page",""
"32-5355","","","","","","","","","","","","","","","not_found",""
"32-6500","Amp Wiring Pin Terminal 16-20 Gauge","https://www2.vtwinmfg.com/amp-wiring-pin-terminal-16-20-gauge.html","$35.59","73190-96","All models","Amp pin wiring terminal, 16-20 gauge. Sold as a pack of 100.","100 - PK","","Namz","USA","1316","","","","product_page",""
"32-6501","Amp Wiring Pin Housing 2-Position","https://www2.vtwinmfg.com/amp-wiring-pin-housing-2-position.html","$12.33","73102-96BK","All models","OE amp wiring pin housing is 2-position type. Sold in a quantity of 2.","1 - SET","","Namz","Imported","1316","","","","product_page",""
"32-6578","","","","","","","","","","","","","","","not_found",""
"32-6656","Handlebar Wiring Harness 4"" Extension Kit","https://www2.vtwinmfg.com/handlebar-wiring-harness-4-extension-kit-1.html","$25.38","","FLST 2007-UP | XL 2007-UP | FXD 2007-2017 | FXST 2007-UP","Handlebar wiring harness extension kit has a 4"" extension and includes 6 right and 8 left OEM color matching wires.","1 - KIT","","Volt Tech","Imported","1058","","","","product_page",""
"32-6672","Turn Signal Wire 4"" Extension Kit","https://www2.vtwinmfg.com/turn-signal-wire-4-extension-kit.html","$14.27","","FXD 1996-2017 | FLST 1996-UP | FXST 1996-UP | XL 1996-UP","Turn Signal wire extension kit has a 4"" extension.","1 - KIT","","Volt Tech","Imported","1058","","","","product_page",""
"32-6673","","","","","","","","","","","","","","","not_found",""
"32-6674","","","","","","","","","","","","","","","not_found",""
"32-6675","","","","","","","","","","","","","","","not_found",""
"32-6679","Handlebar Switch Wiring Harness 15"" Extension Kit","https://www2.vtwinmfg.com/catalog/product/view/id/21377/s/handlebar-switch-wiring-harness-15-extension-kit/","$44.27","","FXST 2011-UP | XL 2014-UP | FXD 2012-2017 | FLST 2011-UP","Handlebar switch wiring harness extension kit has a 15"" extension and includes 4 right, 4 left, and brake switch OEM color matching wires with micro-connectors installed.","1 - KIT","","Namz","USA","1058","","","","product_page",""
"32-6692","V-Twin Performance Spark Plug Set","https://www2.vtwinmfg.com/v-twin-performance-spark-plugs-1.html","$20.29","32342-04","FXD 1991-1998 | FXST 1984-1998 | FL 1975-1984 | FLT 1984-1998 | FLST 1984-1998 | FXR 1982-1994 | FX 1975-1984","V-Twin performance spark plug set features a copper core electrode for a longer service life, nickel plated housing, 95% pure alumina insulator and a heat crimping process to ensure a leak free seal. *NOTE: Long reach type.","1 - SET","","Volt Tech","Imported","158","","Replaces spark plug #5R6A.","","product_page",""
"32-6693","V-Twin Performance Spark Plug Set","https://www2.vtwinmfg.com/v-twin-performance-spark-plugs-2.html","$20.28","32342-04","FXD 1991-1998 | FXST 1984-1998 | FL 1975-1984 | FLT 1984-1998 | FLST 1984-1998 | FXR 1982-1994 | FX 1975-1984","V-Twin performance spark plug set features a copper core electrode for a longer service life, nickel plated housing, 95% pure alumina insulator and a heat crimping process to ensure a leak free seal. One heat range hotter than stock plug.                                                                                                                                                                                                                                                                                                                                                                                                                                                                              *NOTE: Long reach type.","1 - SET","","Volt Tech","Imported","158","","","","product_page",""
