sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
16-1757,Piston Pin Lock Tool,https://www2.vtwinmfg.com/piston-pin-lock-tool.html,$48.48,96780-58A,XL 1952-1972 | FX 1971-1972 | FL 1952-1972,Piston pin lock tool.,1 - EA,,Motorshop,Imported,876,,,,product_page,
10-0540,Tappet Block Set,https://www2.vtwinmfg.com/tappet-block-set-1.html,$151.40,,XL 1957-1984,Sifton tappet block kit comes with o-rings and screws.,4 - SET,Polished,Motorshop,USA,866,8782-4 - Tappet Base Allen Screw 10-0182 - Replica Polished Tappet Block Set,,,product_page,
17-0914,Crank Pin Nut Lock Plate,https://www2.vtwinmfg.com/crank-pin-nut-lock-plate.html,$18.95,23971-41,XL 1957-1981 | K 1954-1956 | FL 1941-1953,Crank pin nut lock plate,10 - PK,,Motorshop,Imported,499,,,,product_page,
10-0190,,,,,,,,,,,,,,,not_found,
16-0075,Wrist Pin Ring Tool,https://www2.vtwinmfg.com/wrist-pin-ring-tool.html,$263.16,,FXD 1991-1998 | FXR 1984-1994 | FXST 1984-1998 | FLT 1984-1998 | XL 1996-2021 | FLST 1984-1998,Wrist pin ring tool easily installs and removes wrist pin clips without damage. Tool works on all pistons with retaining ring dimple. Tool does not work   on Twin Cam models.,1 - EA,,K&L Supply Co.,USA,876,,Not for use on forged pistons.,,product_page,
15-0217,Transmission Neutral Switch Fiber Washer,https://www2.vtwinmfg.com/sportster_1952_up/electrical/switches.html/transmission-neutral-switch-fiber-washer.html,$15.87,25811-11,FL 1974-1978 | FLST 1986-1997 | FXST 1984-1997 | FLT 1979-1997 | FX 1974-1978 | XL 1957-1978,Transmission neutral switch washer is fiber. *NOTE: Also used as gear case idler stud washer on 1937-1952 W and 1937-1948 U models.,10 - PK,,Gary Bang,Imported,550,,,,product_page,
16-0993,Sifton Pushrod Adjustment Gauge,https://www2.vtwinmfg.com/sifton-pushrod-adjustment-gauge.html,$25.19,,FLT 1979-1983 | FX 1971-1984 | FXR 1982-1983 | FL 1953-1984,Sifton pushrod adjustment gauge for use on Big Twins with hydraulic lifter. Comes complete with instructions. With this gauge in place you will be able to determine that your lifters are installed at the proper height in the tappet blocks.,1 - EA,,Sifton,Imported,1296,,,,product_page,
10-1281,Engine Case Pinion Bearing White and Grey,https://www2.vtwinmfg.com/engine-case-pinion-bearing-white-and-gray.html,$27.08,24659-87,XL 1987-UP,White and grey pinion bearing.,1 - EA,,Motorshop,Imported,858,,,"{""Type"": ""Pinion Shaft""}",product_page,
10-0252,Jims Pinion Right Side Case Race Standard,https://www2.vtwinmfg.com/jims-pinion-right-side-case-race-standard-3.html,$161.86,24585-57,XL 1957-1976,"Standard right side case race is machined and ground to factory specifications. race has an outer diameter of 1.7515 "".",1 - EA,,Jims,USA,858,,,,product_page,
10-1282,Engine Case Pinion Bearing Green,https://www2.vtwinmfg.com/engine-case-pinion-bearing-green.html,$35.54,24660-87,XL 1987-UP,Green engine case pinion bearing,1 - EA,,Eastern,USA,858,,,"{""Type"": ""Pinion Shaft""}",product_page,
16-0140,Timken Bearing Press Tool,https://www2.vtwinmfg.com/bearing-tool.html,$88.72,97225-55,FXD 1991-1998 | FXST 1984-1998 | FX 1971-1984 | FLST 1986-1998 | FL 1955-1984 | FXR 1982-1994 | FLT 1979-1998,Sprocket shaft Timken bearing installer tool. *NOTE: Includes 2 collars.,1 - EA,,Motorshop,Imported,1293,,,,product_page,
16-0138,Outer Race Press Tool,https://www2.vtwinmfg.com/outer-race-press-tool.html,$27.15,97194-57,FXD 1991-1998 | FXST 1984-1998 | FX 1971-1984 | FLST 1986-1998 | FL 1955-1984 | FXR 1982-1994 | FLT 1979-1998,Outer race press tool is used to remove and install bearing outer race.,1 - EA,,Eastern,Imported,1293,,,,product_page,
10-1208,Flywheel Thrust Washer Set,https://www2.vtwinmfg.com/flywheel-thrust-washer-set-3.html,$59.64,,EL 1936-1940 | FL 1941-1954 | UL 1937-1948 | VL 1930-1934,"Flywheel thrust washer set includes 1 of each: .112, .114, .116, .118 and .120. Sold as a 5 piece set of outside flywheel thrust washers.",1 - SET,,V-Twin,Imported,499,,,,product_page,
10-0693,"45"" Left Side Case Race Standard",https://www2.vtwinmfg.com/classic_pre_1984/side_valve/engine_bottom_end.html/45-left-side-case-race-standard.html,$69.85,,G 1939-1973 | WL 1939-1952,"45"" left side standard case race is machined and ground to factory specifications.",1 - EA,,Eastern,Imported,,,,,product_page,
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
41-0151,Gasoila Red Varnish Sealant,https://www2.vtwinmfg.com/gasoila-red-varnish-sealant.html,$69.22,,All models,"Gasoila sealant, hard setting red varnish comes in a 4 ounce jar and includes brush. This is the original sealer for inside crank cases or cam covers. Seals pin holes on porous surfaces. Sealer is insoluble in oil, gas and solvents.",1 - EA,,Federal Process,USA,494,,,,product_page,
16-5833,Jims M8 Balancer Bearing Installer Tool,https://www2.vtwinmfg.com/jims-m8-balancer-bearing-installer-tool.html,$262.27,,FXST 2018-UP | FLST 2018-UP | FLT 2017-UP,"Jims M8 balancer bearing installer tool. All M8 engines incorporate balancers to reduce vibration. This tool has been developed to be used with the balancer bearing removal tool, 16-5832, to precisely install the bearings in the proper location. This installation tool aligns the crank case via case bolt and dowel locations that allows the bearings to be installed on the work bench without the use of a driver or press. Use on all 2017-up FLT and 2018-up FLST, FXST models.",1 - EA,,Jims,USA,1290,,"Suggested to use with 16-5832, Jims M8 Balancer Bearing     Remover Tool.",,product_page,
10-0221,Left Side Case Race Standard,https://www2.vtwinmfg.com/classic_pre_1984/side_valve/engine_bottom_end.html/left-side-case-race-standard.html,$63.35,24610-39,G 1939-1973 | WL 1939-1952,Machined and ground to factory specifications.,1 - EA,,Eastern,USA,813,,,,product_page,
11-0857,Cylinder Head Set With Rocker Assembly,https://www2.vtwinmfg.com/cylinder-head-set-with-rocker-assembly.html,"$3,776.99",,FL 1941-1947 | EL 1941-1947,"Knucklehead cylinder head set features original cast iron with natural finish. Head set includes valves, springs, collars, polished rocker boxes and guides with parkerized upper and lower valve cover sets installed. 74 cubic inch head set includes aluminum rocker assembly.",1 - SET,,Motorshop,Imported,529,11-0540 - Standard Rocker Arm Shaft 49-1166 - Knucklehead Rocker Tin Set Parkerized 49-2650 - Replica Rocker Box Set Polished 49-0037 - Rocker Shaft End Nut Stock Chrome,,,product_page,
10-0218,Right Side Case Race Standard,https://www2.vtwinmfg.com/classic_pre_1984/side_valve/engine_bottom_end.html/right-side-case-race-standard.html,$67.42,24585-39,G 1939-1973 | WL 1939-1952,Machined and ground to factory specifications.,1 - EA,,Eastern,USA,813,,,"{""Measurements"": ""Inner Diameter: 1.3657\""""}",product_page,
16-1852,Shaft Turning Tool,https://www2.vtwinmfg.com/shaft-turning-tool-2.html,$17.87,,XL 1957-UP,"Shaft turning tool allows engine to be turned over by 1/2"" ratchet or impact driver. Spline type.",1 - EA,,Motorshop,Imported,943,,,,product_page,
10-1013,UL-ULH Flywheel Assembly,https://www2.vtwinmfg.com/v-twin-stock-flywheel-assembly-1.html,"$1,572.63",,UL 1937-1948,"UL-ULH flywheel assembly is for 74 and 80"" side valve flathead models. Shipped complete, assembled, balanced and trued with shafts.",1 - EA,,Motorshop,USA,812,10-1027 - Truett and Osborne Flywheel Set Stock 10-0407 - Engine Pinion Shaft 10-0469 - Replica Sprocket Shaft 10-0332 - Connecting Rod Assembly,,,product_page,
16-0839,Cam Cover Puller Tool,https://www2.vtwinmfg.com/cam-cover-puller-tool.html,$22.57,,FXD 1991-1998 | FXST 1984-1998 | FX 1970-1984 | FL 1970-1984 | FLST 1986-1998 | FXR 1982-1994 | FLT 1979-1998,Cam cover puller tool,1 - EA,,Motorshop,Imported,1296,,,,product_page,
16-0659,Jims Pin Gear Lock Tool,https://www2.vtwinmfg.com/jims-pin-gear-lock-tool.html,$216.74,,FXD 1991-1998 | FL 1954-1984 | FXST 1984-1998 | FX 1971-1984 | FLST 1986-1998 | FXR 1982-1994 | FLT 1979-1998,Jims pin gear lock tool is used when applying torque to the pinion nut. Align underneath gear and screw into case.,1 - EA,,Jims,USA,1294,,,,product_page,
16-0129,Pinion Gear Puller Tool Kit,https://www2.vtwinmfg.com/pinion-gear-puller-tool-kit.html,$125.39,96830-51,FXD 1991-1998 | FL 1941-1984 | FXST 1984-1998 | EL 1939-1940 | FX 1971-1984 | FLST 1986-1998 | FXR 1982-1994 | XL 1967-1976 | FLT 1979-1998,"Puller tool kit is used to remove and install the pinion gear. Can be used to install gear on 1951-1953 Big Twin 61"" and 74"" overhead valve.                                                                                                                                                                                                                                                                                                                                                                                                                                       This is a 4 piece set.",1 - KIT,,Motorshop,Imported,1294,,Order #16-0141 nut wrench separately. Used to install pressed on splined pinion gears on 1939-1953 Big Twin. Used to remove pinion gear on 1939-1989 Big Twin and 1957-  1976 XL.,,product_page,
16-0648,Pinion Bearing Race Removal Tool,https://www2.vtwinmfg.com/pinion-bearing-race-removal-tool.html,$21.98,39958,FXD 1991-1998 | FXST 1984-1998 | FX 1971-1984 | FLST 1986-1998 | FL 1958-1984 | FXR 1982-1994 | FLT 1979-1998,Pinion bearing race removal tool is used to remove and install the outer race on 1958 and later models.,1 - EA,,Eastern,USA,1294,,,,product_page,
16-0157,Tappet Block Puller Tool,https://www2.vtwinmfg.com/tappet-guide-puller-tool.html,$35.34,95724-57,XL 1957-1985,Tappet block puller tool.,1 - EA,,Motorshop,Imported,1296,,,,product_page,
11-0592,Hydraulic Tappet Block Kit Chrome Finish,https://www2.vtwinmfg.com/hydraulic-tappet-block-kit-chrome-finish-1.html,$403.21,,FL 1966-1984 | FLT 1979-1983 | FX 1971-1984 | FXR 1982-1983,"Sifton hydraulic lifter and pushrod assembly for 1966-1984 Big Twin, chrome finish, shovel type, includes 4 hydraulic lifter tappets, 4 hydraulic lifter units, 4 pushrods and a tappet block set Order correct lifter base screws in either (20) or (24) 1/4"" pitch thread.",1 - KIT,Chrome,Motorshop,USA,517,10-0987 - Replica Chrome Tappet Block Set 11-9523 - Steel Hydraulic Pushrod Set 15-1542 - V-Twin Tappet Base Gasket Kit,"Required to use with #8708-8 Tappet Block Screw Kit Chrome  for 1936-1975 models. Required to use with #8711-8 Tappet Block Screw Kit 1/4"" X  24 Thread Chrome for 1976-1984 models.",,product_page,
16-0998,Tappet Block and Oil Pump Alignment Tool,https://www2.vtwinmfg.com/tappet-guide-and-oil-pump-alignment-tool.html,$27.45,33443,FLT 1999-2016 oil pump | FXD 1991-1998 tappet guide | FLT 1984-2016 tappet guide | FXST 1999-2017 oil pump | FXD 1999-2017 oil pump | FLST 1999-2017 oil pump | FXR 1984-1994 tappet guide | FXST 1984-1998 tappet guide,Use to align tappet block to engine case and also aligns oil pump to cam plate. Sold as a pair.,1 - SET,,Motorshop,Imported,172,,,,product_page,
