normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
K0216P2,multiple_real,3,2,109129|133927,09031582|WPS-K0216P2|VT-11-1321
5020001008,multiple_real,2,2,116179|146259,DS199218|VT-18-3696
3487341,multiple_real,2,2,177595|177780,VT-49-0419|VT-49-1722
74012,multiple_real,2,2,117628|170825,DS243851|VT-24-0142
78570,multiple_real,2,2,171572|171744,VT-27-0183|VT-27-1131
112906,multiple_real,2,2,99901|157400,DS289111|VT-35-9185
660325,multiple_real,2,2,128921|103765,WPS-70-660325|17412900
2M6127020,multiple_real,2,2,142958|132804,VT-11-1365|WPS-865-02018
296550,multiple_real,2,2,94770|169243,DS199452|VT-17-9861
298130,multiple_real,2,2,142295|114454,VT-10-8122|DS199075
L226828M,multiple_real,2,2,118429|154808,20200399|VT-33-1273
P7443,multiple_real,2,2,99108|158352,DS190693|VT-37-8672
V30HTCGRB,one_real_rest_null,2,1,101641,06303426|WPS-206-40120
117246,multiple_real,2,2,102687|149172,10060317|VT-24-7246
K1609,multiple_real,2,2,102939|143716,K1609|VT-11-9729
A1745157,multiple_real,2,2,94947|166873,09270011|VT-12-2116
125001,multiple_real,2,2,103013|135284,04110191|WPS-820-51890
120019,multiple_real,2,2,103017|154401,04030181|VT-33-0301
120049,multiple_real,3,2,108436|152743,WPS-12-0049|VT-31-3943|07060038
K2804,multiple_real,2,2,143796|109131,VT-11-9985|09031678
VRK1,multiple_real,2,2,157417|99874,VT-35-9290|DS390225
328126,multiple_real,2,2,105398|158323,03650022|VT-37-8530
A9110,multiple_real,2,2,94888|179386,09200068|VT-10-8523
1229,multiple_real,3,3,105794|155594|109397,20010124|VT-34-0175|09300248
298165,multiple_real,2,2,142318|115338,VT-10-8165|DS199114
BTX5,multiple_real,2,2,129540|116370,WPS-810-5003|11311801
2071,multiple_real,2,2,129553|120310,WPS-811-02071|09250537
3000,multiple_real,2,2,129557|120409,WPS-811-03000|24010128
JGI12053A,multiple_real,2,2,167354|92412,VT-14-0619|DS194089
4025,multiple_real,2,2,129564|109381,WPS-811-04025|09290017
4017,multiple_real,3,3,129565|120371|159632,WPS-811-04050|09290072|VT-40-0346
4018,multiple_real,2,2,129566|120331,WPS-811-04051|09290073
1900005,multiple_real,2,2,110108|156811,10500302|VT-35-0548
7000,multiple_real,3,3,129574|105054|170469,WPS-811-07000|09320018|VT-23-1727
7001,multiple_real,3,3,129575|120329|170048,WPS-811-07001|09320019|VT-23-0113
7050,multiple_real,2,2,129576|166445,WPS-811-07050|VT-12-0509
