normalized_part_number,vendor_combo,member_count,skus
060163,VTWIN+WPS,2,WPS-70-6163|VT-19-0004
50189Z,VTWIN,2,VT-40-0286|VT-40-9983
120092,PU+VTWIN,2,VT-33-0105|10120005
302843,VTWIN+WPS,2,WPS-820-70211|VT-43-0797
C770075,VTWIN+WPS,2,WPS-820-2622|VT-50-1130
7077,VTWIN+WPS,2,WPS-811-07077|VT-23-1736
306,PU+VTWIN,2,17420048|VT-43-0360
NWR810020,PU+WPS,2,WPS-850-09221|21201325
50226A,VTWIN,2,VT-40-1418|VT-40-9090
71305,PU+VTWIN,2,VT-42-0290|10102887
342510,PU,2,17103957|06510555
78427,VTWIN,2,VT-42-0788|VT-15-8427
9084,VTWIN,2,VT-42-1091|VT-12-4576
9963,VTWIN,2,VT-42-1100|VT-37-0520
9087,VTWIN,2,VT-42-1125|VT-42-1126
210241,VTWIN+WPS,2,VT-21-0253|WPS-820-50804
71033P,VTWIN,2,VT-42-1284|VT-42-1824
080350,VTWIN+WPS,2,WPS-57-80350|VT-16-1765
126055R,VTWIN,2,VT-33-1056|VT-33-1920
63002C,VTWIN,2,VT-44-0239|VT-44-0226
11161,VTWIN+WPS,2,WPS-681-5452|VT-12-0952
78503,VTWIN,2,VT-44-0441|VT-15-8503
CM4253,VTWIN+WPS,2,WPS-27-M425|VT-48-1755
P8859,PU+WPS,2,WPS-830-1069|DS175011
WT001B,VTWIN,2,VT-49-2493|VT-49-2492
77350,VTWIN,2,VT-44-0974|VT-15-7350
71588,PU+VTWIN,2,VT-45-0752|02100426
CM419,VTWIN+WPS,2,WPS-27-M419|VT-48-0587
77836,VTWIN,2,VT-24-1173|VT-14-7836
76161,VTWIN+WPS,2,WPS-57-6213|VT-15-0268
JGI3490105K,PU+VTWIN,2,VT-15-1396|09341621
77316,VTWIN,2,VT-15-7316|VT-39-0654
503,VTWIN,2,VT-25-5030|VT-30-1909
600077,PU+VTWIN,2,VT-34-0306|10102842
CM4242,VTWIN+WPS,2,VT-48-1711|WPS-27-M424
JGI3490179K,PU+VTWIN,2,DS174954|VT-15-0869
CM4223,VTWIN+WPS,2,VT-48-1753|WPS-27-M422
CM254,VTWIN+WPS,2,VT-48-1763|WPS-27-M254
206595B,VTWIN,2,VT-33-1290|VT-33-0334
78393,VTWIN,2,VT-33-1624|VT-15-8393
78473,VTWIN,2,VT-33-1640|VT-15-8473
77758,VTWIN,2,VT-49-0380|VT-15-7758
600001,PU+VTWIN,2,VT-34-0309|10102639
61000675,VTWIN,2,VT-38-0557|VT-38-0868
77769,VTWIN,2,VT-15-7769|VT-35-0965
77770,VTWIN,2,VT-15-7770|VT-23-0721
78269,VTWIN,2,VT-15-8269|VT-42-1745
NFLRP01,PU+WPS,2,WPS-850-09230|20500502
61000674,VTWIN,2,VT-38-0596|VT-38-0699
103330,PU+WPS,2,WPS-812-02010|DS240202
202022,VTWIN+WPS,2,VT-11-0952|WPS-191-57043
311151,VTWIN+WPS,2,WPS-582-02301|VT-41-0200
6482040,VTWIN+WPS,2,WPS-865-02035|VT-11-0180
33262,PU+VTWIN,2,VT-40-0263|06500002
9908,PU+VTWIN,2,VT-42-0180|18611647
40110,PU+VTWIN+WPS,3,WPS-274-0010|VT-32-0640|35011862
83097B,VTWIN,2,VT-33-1818|VT-35-1818
2M6164030,VTWIN+WPS,2,VT-11-1361|WPS-865-02007
63363,VTWIN,2,VT-34-0733|VT-22-0841
2M6164020,VTWIN+WPS,2,WPS-865-02006|VT-11-1360
83071,PU+VTWIN,2,VT-33-4071|08021511
78263,VTWIN,2,VT-14-8263|VT-28-2262
216355G,PU+VTWIN,2,09250175|VT-10-8197
78397,VTWIN,2,VT-49-2518|VT-15-3897
KB305.020,VTWIN+WPS,2,WPS-824-01009|VT-11-2260
306014,VTWIN+WPS,2,WPS-820-0161|VT-30-0002
241336,PU+VTWIN+WPS,3,WPS-820-52653|VT-19-0159|11200435
140512,PU+WPS,2,WPS-820-2683|21070196
11344,VTWIN+WPS,2,WPS-817-01850|VT-38-0116
58835,VTWIN,2,VT-37-5873|VT-37-5875
50215,PU+VTWIN,2,VT-23-0806|44020594
A3510552,PU+VTWIN,2,VT-17-1136|DS195018
