"product_id","sku","brand","source_vendor","name","image_url","http_status","content_type"
"35887","06360277","SP CONNECT","PU","Clutch Mount Pro - Phone - Black","http://asset.lemansnet.com/z/LzQvMi81LzQyNURGNzBBLTQ1RDYtNDNBQS1CRjIzLUY2MTRFRDJDQUYxOSwvOC9DL0EvOENBQTNFMzYtMTQ4NC00NzdDLUEzQkYtNTA3QkVBMTdCOEE1","200","application/x-zip"
"31458","16202643","Joker Machine","PU","Bear Claw Foot Pegs - Black - Harley-Davidson","http://asset.lemansnet.com/z/LzYvRC8wLzZEMDUzMUI3LTc5NkYtNEVGMC05MzA5LUM3M0U2MENFRENBRQ==","200","application/x-zip"
"23431","22020294","DRAG SPECIALTIES","PU","Fuel Tank Console Door - Chrome","http://asset.lemansnet.com/z/L0MvRC9EL0NERDc4ODIzLTE1MzYtNDkzNS04Rjk0LTUxNTY2RDM4RUNBRA==","200","application/x-zip"
"17811","06360301","SP CONNECT","PU","SPC+ Phone Case - Samsung Galaxy S22+","http://asset.lemansnet.com/z/L0MvRC84L0NEOEQ4RkJCLUMxQzktNEZCMy05MDgxLTcyNEE5OTQwRDE5Ng==","200","application/x-zip"
"20234","11050213","Arlen Ness","PU","10 Gauge Top Transmission Cover - Black - M8","http://asset.lemansnet.com/z/L0EvOC85L0E4OTlCRDhDLUMxMEYtNDhGQi05Nzk5LUM3QjUyRTcxOTk1OCwvMy83L0YvMzdGMjAyNUItNjBDQS00MjNDLUIxQkMtNTdEQUNDQTlCRTU0","200","application/x-zip"
"19428","06510888","MAGNUM SHIELDING","PU","BYO™ Build Your Own™ Control Cable Kit - Idle - 90° - Black","http://asset.lemansnet.com/z/LzAvRS9FLzBFRUVDM0RELTJBMUEtNDBGRC1CMjUyLTBDRTlBMUUwMkMyRg==","200","application/x-zip"
"654","11070280","DRAG SPECIALTIES","PU","Sprocket Cover - Polished - '91-'03 XL","http://asset.lemansnet.com/z/LzkvQy84LzlDODgwNEU0LTYwNjYtNDJGNi1CQjBFLTk0NzFFNUQ3QzNGQw==","200","application/x-zip"
"34077","08010963","MUSTANG","PU","Heated Deluxe Touring Seat - FL '08-'25","http://asset.lemansnet.com/z/LzMvRC9BLzNEQTM5MTU0LTY4NDgtNEI3OC1CODQ4LTBCN0E4QTlCMTAwRg==","200","application/x-zip"
"3032","DS380016","DRAG SPECIALTIES","PU","Rim - Drop Center - Rolled Edge - 40 Hole - Silver - 21x2.15","http://asset.lemansnet.com/z/LzkvNy9DLzk3QzYzQ0RGLTU2OUItNDEwQy04RDNFLTBDOUE0NkVDRjg1Qw==","200","application/x-zip"
"24476","DS174284","James Gasket","PU","Umbrella Valve Seal","http://asset.lemansnet.com/z/LzIvOC84LzI4OEM1MUM0LUU3ODEtNDY3NC05MEQ3LTQ5RjExNDJFRkRCMg==","200","application/x-zip"
"24522","21201256","Namz","PU","100' Wire Spool - 20 Gauge - White/Blue","http://asset.lemansnet.com/z/LzgvMy80LzgzNEJCRUUxLTM0REMtNEE5RS1BODQwLTE5NkJGODE3Q0Q0RA==","200","application/x-zip"
"33812","06500766","MAGNUM SHIELDING","PU","Black Pearl™ Braided Throttle Cable - 49-5/8""","http://asset.lemansnet.com/z/LzAvRi8wLzBGMEJBQkVDLUMxNEItNEYzQS05NzRFLUIyRUZDRTc1MUUzMw==","200","application/x-zip"
"3882","DS3401","MAGNUM SHIELDING","PU","Sterling Chromite II® Braided Idle Cable for Harley-Davidson - 32-1/2""","http://asset.lemansnet.com/z/LzcvNS80Lzc1NEEyMkZDLTA2MUEtNDI1Ni04QjRFLUVBMTk4MTc0N0M1MA==","200","application/x-zip"
