id,name,vendor_sku,change_to
57153,DJ 20 TOKEN TUNING PACK,133-4040,Tool tuner tokens
57157,DJ 400 TOKEN TUNING PACK,133-4044,Tool tuner tokens
57154,DJ 50 TOKEN TUNING PACK,133-4041,Tool tuner tokens
79338,Dope Style Reference Guide,48-1331,Shop manuals
79385,Double Coat Hook,48-1398,
79656,Dress Up Ball Set Chrome,48-2321,
91363,Dual Filament Bulb Amber,33-2382,Lighting bulb
75365,Dual Throttle Clamp Black,37-1511,
89399,Dual Type Nylon Throttle Tube,28-1981,Throttle tube
79170,Early Motorcycles Construction Operation Service,48-0366,
91893,EFI Module Throttle Shaft,35-2141,Efi module
91895,EFI Module Throttle Shaft,35-2144,Efi module
91894,EFI Module Throttle Shaft,35-2143,Efi module
74568,EFI Module Throttle Shaft Arm,35-2147,Efi module
90265,EFI Relay,32-0536,Efi module
96153,Electric Wiring Terminal Screw and Fitting Kit,8942-14,
76016,Emblem/Trim Mount Strip Set Raw Steel,38-0508,
84119,Engine Cam Oil Transfer Valve,12-1511,
60340,Evolution Rocker Cover Set,11-1580,
82044,EXTRA CHARGE ITEMS,60-7777,
504862,Fat Bob Key Switch Mount Kit,31-2535,
41984,FATBOB TANK GROMMETS 10 PK,820-52261,
90968,Female Terminal Solid Socket Type Terminal,32-9603,
90192,Fiber Wiring Terminal Plate with Bolts,32-0357,
90178,Fiber Wiring Terminal Plate with Bolts,32-0321,
86237,Filler Plug Lock Plate,17-0932,
92405,Fishpaper Washer 7/32 inch x 5/8 inch,37-0289,
92413,Fishpaper Washer 9/32 inch x 7/8 inch,37-0297,
77608,Flame Cover Set Chrome,42-0743,
75296,Flange Nut 5/8 inch x 18,37-0963,
77286,Flare Nipple Fitting Nut,40-9975,
32100,Flare Windshield Display,99050016,
31944,Flare Windshield Display with Flyer - FLR,99041651,
75370,Flat Head Fillister Head Slotted Screw 2-64 x 3/8 inch Zinc,37-1533,
79067,Flatside Shovelhead Engine Plaque Sign,48-0048,
58453,FLATSIDE TANK GROMMETS 6PK,820-52263,
94747,FL-FX Shovelhead Service Manuel,48-0645,
80914,Forging Number Plate with Neck Extension Set,51-0063,
55629,FRAME MOUNT SLIDER CHACHO BLUE,750-03026,
55631,FRAME MOUNT SLIDER CHACHO BRONZE,750-03028,
55627,FRAME MOUNT SLIDER CHACHO GOLD,750-03022,
55630,FRAME MOUNT SLIDER CHACHO PURPLE,750-03027,
55628,FRAME MOUNT SLIDER CHACHO RED,750-03023,
57248,"FREWAY BARS 1.25"" BLACK SPORTSTER 04-22",82-96420,
57249,"FREWAY BARS VBEND 1.25"" BLACK SPORTSTER 04-22",82-96421,
91868,Friction Spring Throttle Tension Screw,35-1768,
92511,Front Belt Pulley Screw Set,37-0429,Belt pulley hardware
83042,Front Cone Nut Kit Cadmium,9303-2,
55245,FRONT DOCKING KIT CHROME FLH/FLT 97-08,82-96550,
81046,Front Engine Brake Strap,51-0471,
82889,Front or Rear Disc Bolts with Nuts for Single Disc,8739-10,
91581,Front Pipe Clamp Bolt and Spacer Kit Parkerized,3430-4,exhaust
56149,FRONT PLATE CARBON,561-3590C,
55054,FRONT PLATE MATTE BLACK,561-3590M,
73896,Front Rocker Plate Stud Kit,3431-24,
95215,Front Rocket Stud Nut Lock,49-2635,
93030,Front Spark Wire Clamp,37-9238,
75041,"Front Stand Spring, Spacer and Washer Set",3631-6,
92815,FXR Chrome Flat Top Stem Nut,37-8137,Front fork
88026,FXR Master Cylinder Pushrod Zinc,23-9171,brakes
77334,Gasoila Blue/White Soft Set Sealant,41-0152,chemicals
77333,Gasoila Red Varnish Sealant,41-0151,chemicals
83650,Generator Commutator End Bearing,12-0302,generator
83652,Generator Open Type Gear End Bearing,12-0304,generator
77343,GE Red Hi-Temp Silicone,41-0182,chemicals
89345,Grooved Hole Plugs for Grips,28-0625,grips
83477,Guide Collar Set,11-0812,
74387,G-WL 2 Bolt Manifold Zinc,35-1288,
