sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
23-9638,"11.8"" King Spoke Rear Brake Disc",https://www2.vtwinmfg.com/11-8-king-spoke-rear-brake-disc.html,$98.45,,Custom Application for King Spoke Wheel,"Ultima King Spoke rear brake disc with a black finish features a 11.8"" diameter for King Spoke style rear wheels For use on King Spoke rear wheels on 2008-2013 FLT and 2006-2009 FUD models.  Brake disc ultize spacers to acheive multi-year applications.",1 - EA,,Ultima,Imported,,,,"{""Measurements"": ""Center Hole: 2.220\"""", ""Location"": ""Rear"", ""Size"": ""11.8 inch""}",product_page,
34-0624,J-Slot Air Cleaner Backing Plate Parkerized,https://www2.vtwinmfg.com/j-slot-air-cleaner-backing-plate-parkerized.html,$35.88,29020-41,W 1941-1952 | FL 1941-1955 | G 1941-1957,Parkerized backing plate includes four pins to mount J-slot air cleaner cover. Carburetor face air cleaner mount holes have a 12-24 thread for fillister screws.,1 - EA,,Wyatt Gatling,Imported,721,,,"{""Style"": ""J-Slot""}",product_page,
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
21-2015,Skull Hand Shifter Knob,https://www2.vtwinmfg.com/skull-hand-shifter-knob.html,$45.24,,Custom application,Brass skull hand shifter knob. Knob is not drilled or tapped for threads.,1 - EA,,V-Twin,Imported,576,,,,product_page,
33-1908,LED Marker Lamp Pod Set with 4 Pods,https://www2.vtwinmfg.com/led-marker-lamp-pod-set-with-4-pods.html,$115.89,,Custom application,Four pod set features a seven color changeable array by push button switch.,1 - KIT,,Wyatt Gatling,Imported,1163,,Suggested to use with #33-1928 light pod control switch,"{""Color"": ""Assorted"", ""Style"": ""Pod""}",product_page,
15-0607,Transmission Gasket Kit,https://www2.vtwinmfg.com/classic_pre_1984/side_valve/transmission.html/transmission-gasket-kit.html,$43.04,33030-41,WL 1941-1952 | G 1941-1973,"V-Twin transmission gasket kit is an 8 piece kit which fits years 1938 to 1973 3-speed and 3-speed with reverse models. Kit includes a transmission top cover gasket, transmission side cover gasket, shifter cam oil seal, clutch gear oil seal, transmission countershaft rubber gasket, transmission hand shift seal,retaining ring and a sealing washer.",1 - KIT,,Gary Bang,Imported,827,15-0331 - Transmission Top Gasket 15-0332 - Transmission Side Cover Gasket,,,product_page,
15-0622,Linkert Carburetor Gasket Kit 3 and 4 Bolt,https://www2.vtwinmfg.com/linkert-carburetor-gasket-kit-3-and-4-bolt.html,$19.66,,EL 1936-1940 | UL 1937-1948 | VL 1933-1934 | FL 1941-1965,Linkert Carburetor gasket kit includes 3-bolt and 4-bolt gaskets.,1 - KIT,,Gary Bang,Imported,725,15-0264 - 3-Bolt Linkert Intake Gasket 15-0145 - Linkert Carburetor Flange Gaskets 15-0304 - Float Bowl Gasket 15-0321 - Linkert Bowl Gasket 15-0232 - Linkert Carburetor Float Bowl Gasket Washer,,,product_page,
8766-10,Handlebar Switch Housing Allen Screws Chrome,https://www2.vtwinmfg.com/handlebar-switch-housing-allen-screws-chrome.html,$17.33,,FX 1973-1981 | FL 1973-1981 | XL 1973-1981,Add some flare to your ride. Replace your stock hardware on your switch housings with our V-Twin chrome allen screw set. This set can be used on your 1973-1981 XL or Big Twin models.,10 - PK,,Colony,USA,1062,,,,product_page,
48-1639,Beck Handlebar Logo Patch Set,https://www2.vtwinmfg.com/beck-handlebar-logo-patch-set.html,$13.10,,All models,"Beck handlebar logo patch set can either be ironed or sewn on. Sold as a pair.                                                           *NOTE: When using an electric iron to apply the patches to clothing, NEVER use steam. Patch may be sewn on after being attached with it's adhesive.",1 - SET,,V-Twin,Imported,,,,,product_page,
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
22-1670,Clutch Lever Perch Assembly Chrome,https://www2.vtwinmfg.com/clutch-lever-perch-assembly-chrome.html,$280.72,,FLHR 2021-UP | FLHTK 2021-UP | FLHT 2021-UP | FLHX 2021-UP,Chrome clutch lever perch assembly features a 15mm bore complete with internals and hand lever.,1 - KIT,,V-Twin,Imported,1054,,,,product_page,
40-0485,Oil Tank Drain Block,https://www2.vtwinmfg.com/oil-tank-drain-block.html,$17.87,,Custom application for remote mounting,Our billet oil drain block allows remote mounting and includes drain plug.,1 - EA,,Wyatt Gatling,Imported,438,,,,product_page,
52-1401,"18"" x 10.5"" Ultima Rear Spoke Wheel Chrome",https://www2.vtwinmfg.com/18-x-10-5-ultima-rear-spoke-wheel-chrome.html,$501.17,,Custom application,"18"" x 10.5"" Ultima rear wheel assembly features a chrome finish with a billet style wide hub, 80 spokes, ball bearing and 1"" axle.",1 - EA,,Ultima,Imported,,,,"{""Location"": ""Rear""}",product_page,
