row_id,catalog_source,source_page,section,fits_raw,hd_model_code,year_start,year_end,note,cable_type,variant,sku,sku_nodash,oem_number,length,elbow_or_adjuster,travel,cruise_ready,catalog_unified_id,catalog_unified_name,already_has_oem
94,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLTC,FLTC,1984,1989,,throttle,braided,0650-0313,06500313,56327-81B,"42 1/2""",70°,"3 3/4""",,14161,"Stainless Braided Throttle Cable - 42-1/2""",no
95,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLTC,FLTC,1984,1989,,throttle,black_vinyl,0650-0350,06500350,56327-81B,"42 1/2""",70°,"3 3/4""",,14472,"Black Vinyl Throttle Cable - 42-1/2""",no
96,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLTC,FLTC,1984,1989,,idle,braided,0651-0126,06510126,56328-81B,"42 1/2""",70°,"4""",N,24,"Stainless Braided Idle Cable - 42-1/2""",no
97,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLTC,FLTC,1984,1989,,idle,black_vinyl,0651-0163,06510163,56328-81B,"42 1/2""",70°,"4""",N,14277,"Black Vinyl Idle Cable - 42-1/2""",no
98,oldbook_2026,890,DRESSER (5-SPEED),For 82-83 FLTC,FLTC,1982,1983,,throttle,braided,0650-0307,06500307,56324-81C,"32 1/4""",45°,"3""",,3243,"Stainless Braided Throttle Cable - 32-1/2""",no
99,oldbook_2026,890,DRESSER (5-SPEED),For 82-83 FLTC,FLTC,1982,1983,,throttle,black_vinyl,0650-0344,06500344,56324-81C,"32 1/4""",45°,"3""",,3098,"Black Vinyl Throttle Cable - 32-1/2""",no
100,oldbook_2026,890,DRESSER (5-SPEED),For 82-83 FLTC,FLTC,1982,1983,,idle,braided,0651-0118,06510118,56323-81C,"32 1/4""",45°,"4""",N,3199,"Stainless Braided Idle Cable - 32-1/2""",no
101,oldbook_2026,890,DRESSER (5-SPEED),For 82-83 FLTC,FLTC,1982,1983,,idle,black_vinyl,0651-0155,06510155,56323-81C,"32 1/4""",45°,"4""",N,14253,"Black Vinyl Idle Cable - 32-1/2""",no
102,oldbook_2026,890,DRESSER (5-SPEED),For 81 FLTC,FLTC,1981,1981,,throttle,braided,0650-0313,06500313,56327-81B,"42 1/2""",70°,"3 3/4""",,14161,"Stainless Braided Throttle Cable - 42-1/2""",no
103,oldbook_2026,890,DRESSER (5-SPEED),For 81 FLTC,FLTC,1981,1981,,throttle,black_vinyl,0650-0350,06500350,56327-81B,"42 1/2""",70°,"3 3/4""",,14472,"Black Vinyl Throttle Cable - 42-1/2""",no
104,oldbook_2026,890,DRESSER (5-SPEED),For 81 FLTC,FLTC,1981,1981,,idle,braided,0651-0126,06510126,56328-81B,"42 1/2""",70°,"4""",N,24,"Stainless Braided Idle Cable - 42-1/2""",no
105,oldbook_2026,890,DRESSER (5-SPEED),For 81 FLTC,FLTC,1981,1981,,idle,black_vinyl,0651-0163,06510163,56328-81B,"42 1/2""",70°,"4""",N,14277,"Black Vinyl Idle Cable - 42-1/2""",no
